FULLNAME,CLADE1,CLADE2,,,
Solanum bumeliifolium Dunal,Leptostemonum,EHS-Madagascar,,,
Solanum burchellii Dunal,Leptostemonum,EHS-Africa,,,
Solanum burkartii Ochoa,Potato,Petota,,,
Solanum caatingae S.Knapp & S?rkinen,Morelloid,Section Solanum,,,
Solanum caavurana Vell.,Geminata,Geminata,,,
Solanum cacosmum Bohs,Cyphomandra,Pachyphylla,,,
Solanum caelicolum Giacomin & Stehmann,Brevantherum,Brevantherum s.s.,,,
Solanum caesium Griseb.,Morelloid,Section Solanum,,,
Solanum cajamarquense Ochoa,Potato,Petota,,,
Solanum cajanumense Kunth,Cyphomandra,Pachyphylla,,,
Solanum caldense Carvalho,Brevantherum,Brevantherum s.s.,,,
Solanum calidum Bohs,Cyphomandra,Pachyphylla,,,
Solanum calileguae Cabrera,Dulcamaroid,South American,,,
Solanum callianthum C.V.Morton,Geminata,Geminata,,,
Solanum callosum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum campaniforme Roem. & Schult.,Geminata,Geminata,,,
Solanum campanulatum R.Br.,Leptostemonum,EHS-Australia,,,
Solanum campechiense L. [3],Leptostemonum,Campechiense,,,
Solanum camptostylum Bitter,Leptostemonum,EHS-Irenosolanum,,,
Solanum campylacanthum Hochst. ex A.Rich. [3],Leptostemonum,EHS-Africa,,,
Solanum camranhense Dy Phon & Hul,Leptostemonum,EHS-Tropical Asia,,,
Solanum candidum Lindl.,Leptostemonum,Lasiocarpa,,,
Solanum candolleanum Berthault,Potato,Petota,,,
Solanum canense Rydb.,Potato,Basarthrum,,,
Solanum canoasense L.B.Sm. & Downs,Geminata,Geminata,,,
Solanum cantense Ochoa,Potato,Petota,,,
Solanum capense L.,Leptostemonum,EHS-Africa,,,
Solanum capillipes Britton,Geminata,Geminata,,,
Solanum capitaneum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum capoerum Dunal,Brevantherum,Brevantherum s.s.,,,
Solanum capsiciforme (Domin) G.T.S.Baylis,Archaesolanum,Archaesolanum,,,
Solanum capsicoides All.,Leptostemonum,Acanthophora,,,
Solanum carautae Carvalho,Brevantherum,Brevantherum s.s.,,,
Solanum cardiophyllum Lindl.,Potato,Petota,,,
Solanum carduiforme F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum caricaefolium Rusby,Leptostemonum,Torva,,,
Solanum caripense Dunal,Potato,Basarthrum,,,
Solanum carolinense L.,Leptostemonum,Carolinense,,,
Solanum cassioides L.B.Sm. & Downs,Geminata,Geminata,,,
Solanum castaneum Carvalho,Brevantherum,Brevantherum s.s.,,,
Solanum cataphractum A.Cunn. ex Benth.,Leptostemonum,EHS-Australia,,,
Solanum catilliflorum G.J.Anderson, Martine, Prohens & Nuez,Potato,Basarthrum,
Solanum catombelense Peyr.,Leptostemonum,EHS-Africa,,,
Solanum caumii (F.Br.) D.McClelland,Leptostemonum,,,,
Solanum celatum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum celsum Standl. & C.V.Morton,Brevantherum,Brevantherum s.s.,,,
Solanum centrale J.M.Black,Leptostemonum,EHS-Australia,,,
Solanum cerasiferum Dunal,Leptostemonum,EHS-Africa,,,
Solanum cernuum Vell.,Brevantherum,Brevantherum s.s.,,,
Solanum chachapoyasense Bitter,Potato,Anarrhichomenum,,,
Solanum chacoense Bitter,Potato,Petota,,,
Solanum chaetophorum C.V.Morton,Leptostemonum,Acanthophora,,,
Solanum chalmersii S.Knapp,Geminata,Geminata,,,
Solanum chamaeacanthum Griseb.,Leptostemonum,CarolinenseÊ,,,
Solanum chamaepolybotryon Bitter,Potato,Pteroidea,,,
